65	(-5.733972248805442, 0.0889615171391953, 4.356868610070965)
66	(-5.75043783558704, 0.08400060874769408, 4.3592923005673665)
67	(-5.743223855728924, 0.07548502156828188, 4.3608227476288635)
68	(-5.765451747839141, 0.07520129867978766, 4.361649623317478)
69	(-5.7455182231203885, 0.08367145606941581, 4.362163621751428)
70	(-5.751258773074531, 0.07297247109696192, 4.36240002084731)
71	(-5.776927470054424, 0.06471169009136216, 4.362532633086596)
72	(-5.75427024299191, 0.08526714422331269, 4.362205377838535)
73	(-5.766884933627406, 0.07689143229038856, 4.361150737422123)
74	(-5.759938923254027, 0.07429290588578921, 4.359788161374902)
75	(-5.773031919461136, 0.06953091555511347, 4.358146223453332)
76	(-5.762488357124599, 0.0764695197110284, 4.356517467088377)
77	(-5.762981732156601, 0.07452229085552627, 4.354991359480518)
78	(-5.780955218107376, 0.06728184751399821, 4.353572551528361)
79	(-5.755804849171932, 0.08325293324506437, 4.352004543586338)
80	(-5.770845562224697, 0.07944250432807588, 4.349964419318143)
81	(-5.763574018470198, 0.07439876891859842, 4.347795588430894)
82	(-5.774494528495345, 0.06633146036401508, 4.345510652764792)
83	(-5.76575384449068, 0.07402286381888544, 4.343355867554872)
84	(-5.760842934285865, 0.073600939389447, 4.341395988675201)
85	(-5.782079869863491, 0.06725315317721654, 4.339662363824893)
86	(-5.7542635445060535, 0.08508731419093359, 4.33783230448851)
87	(-5.772064756431132, 0.08267120225015792, 4.33553852702868)
88	(-5.765471097926486, 0.07405346002956355, 4.333133510682325)
89	(-5.777983393681683, 0.06753318785282249, 4.330634070340351)
90	(-5.766800375216821, 0.07306405073216557, 4.328307693606286)
91	(-5.759276931199408, 0.0721338647203049, 4.326187312680035)
92	(-5.787126668643896, 0.06308037439682362, 4.324297239770958)
93	(-5.757741123536179, 0.08335137524261878, 4.3223474967546895)
94	(-5.774397313930939, 0.08089257776878347, 4.319976629053038)
95	(-5.767992155312548, 0.07016887379304591, 4.317403659407146)
96	(-5.7852989558546595, 0.06816322354604447, 4.314697428823279)
97	(-5.768254656158523, 0.07598686176552608, 4.312167324475701)
98	(-5.763414341008461, 0.071612972062165, 4.3098600763964106)
99	(-5.790125601581942, 0.05938875341455844, 4.307808132979887)
